idx,log_timestamp,camera,ave_speed,speed_units,image_path,image_w,image_h,image_bigger,direction,plugin_name,cx,cy,mw,mh,m_area,x_left,x_right,y_upper,y_lower,max_speed_over,min_area,track_counter,cal_obj_px,cal_obj_mm,status,cam_location
20211212-2340312,"""2021-12-12 23:40:31""",PiCam,31.09,mph,media/images/calib-20211212-2340312.jpg,960,720,3,R2L,None,33,0,46,60,2760,50,250,90,150,0,200,6,85,4700,,None
20211212-2340325,"""2021-12-12 23:40:32""",PiCam,10.76,mph,media/images/calib-20211212-2340325.jpg,960,720,3,L2R,None,55,7,79,53,4187,50,250,90,150,0,200,6,80,4700,,None
20211212-2341052,"""2021-12-12 23:41:05""",PiCam,14.68,mph,media/images/calib-20211212-2341052.jpg,960,720,3,L2R,None,55,29,17,31,527,50,250,90,150,0,200,6,80,4700,,None
20211212-2341062,"""2021-12-12 23:41:06""",PiCam,16.09,mph,media/images/calib-20211212-2341062.jpg,960,720,3,R2L,None,39,33,77,27,2079,50,250,90,150,0,200,6,85,4700,,None
20211212-2341071,"""2021-12-12 23:41:07""",PiCam,15.53,mph,media/images/calib-20211212-2341071.jpg,960,720,3,R2L,None,45,28,77,32,2464,50,250,90,150,0,200,6,85,4700,,None
20211212-2341370,"""2021-12-12 23:41:37""",PiCam,17.16,mph,media/images/calib-20211212-2341370.jpg,960,720,3,R2L,None,67,30,77,30,2310,50,250,90,150,0,200,6,85,4700,,None
20211212-2341381,"""2021-12-12 23:41:38""",PiCam,24.21,mph,media/images/calib-20211212-2341381.jpg,960,720,3,R2L,None,74,32,74,28,2072,50,250,90,150,0,200,6,85,4700,,None
20211212-2341452,"""2021-12-12 23:41:45""",PiCam,10.7,mph,media/images/calib-20211212-2341452.jpg,960,720,3,R2L,None,93,38,82,22,1804,50,250,90,150,0,200,6,85,4700,,None
20211212-2341463,"""2021-12-12 23:41:46""",PiCam,15.38,mph,media/images/calib-20211212-2341463.jpg,960,720,3,L2R,None,98,36,63,19,1197,50,250,90,150,0,200,6,80,4700,,None
20211212-2341538,"""2021-12-12 23:41:53""",PiCam,13.83,mph,media/images/calib-20211212-2341538.jpg,960,720,3,R2L,None,35,0,30,60,1800,50,250,90,150,0,200,6,85,4700,,None
